PlasticType,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11
6,894520,404677,494090,333413,371429,159124,-1884.011538,894.13,-1071.18,380.16,-2123.05
6,816156,382046,465054,302631,332915,145026,-1669.653846,830.08,-1082.82,302.84,-1878.89
6,814820,381455,464162,301451,331635,144816,-1666.788462,827.07,-1084.74,301.84,-1868.19
6,838232,395821,485899,317656,345206,152751,-1701.580769,900.78,-1121.62,275.5,-1924.55
6,779656,364223,449945,301175,336218,142620,-1597.819231,857.22,-991.8,350.43,-1935.98
1,44774.5,98627.5,121300.25,104612.75,83033.5,27661.5,207.1269231,226.7275,-111.25,-215.7925,-553.72
1,44126.25,97094.75,119277.75,102748,81551.5,26726.5,203.725,221.83,-110.1983333,-211.965,-548.25
1,43583.75,95785.5,117638,101949.5,80899,28400.75,200.7759615,218.525,-104.59,-210.505,-524.9825
1,42979.5,95002.25,116081.5,101084,79622.5,30790.25,200.0875,210.7925,-99.98333333,-214.615,-488.3225
1,46186,101226.25,123803,106937,84442.75,28933,211.6932692,225.7675,-112.44,-224.9425,-555.0975
1,42397.5,92977.5,113255,98586.5,77351,29351.75,194.5384615,202.775,-97.79,-212.355,-479.9925
1,43579.5,95447.5,116365,100881.5,79402.75,29103.5,199.4923077,209.175,-103.2233333,-214.7875,-502.9925
1,45728.25,100528.25,123226.75,106786.25,84322,30874.75,210.7692308,226.985,-109.6033333,-224.6425,-534.4725
1,44284,97949.25,120161,104198,82148.75,30195.75,206.4048077,222.1175,-106.42,-220.4925,-519.53
1,45272.75,99113.75,121730.75,104175.5,82813.25,26883,207.0807692,226.17,-117.035,-213.6225,-559.3025
1,34155,83528,103892.25,91197.25,72914.5,29311.5,189.8961538,203.6425,-84.63333333,-182.8275,-436.03
1,44919.75,99325.25,121758.5,105822.5,83530,31309.75,209.2519231,224.3325,-106.24,-222.925,-522.2025
1,40679.25,90162.25,109446.25,95178.5,74253.25,28851.25,190.3192308,192.84,-95.11833333,-209.2525,-454.02
1,46348.75,101767,124325.25,108343.75,85065,34654,213.1471154,225.5825,-106.5433333,-232.7875,-504.11
1,45480.25,98696.5,121552.25,104132,82765.75,26333.25,204.6778846,228.5575,-116.135,-213.6625,-564.325
1,44776.25,97193.75,119120,101404.5,80913.25,23381,201.6057692,219.2625,-118.1033333,-204.9125,-575.3225
1,45557.5,99443.75,123207.75,106933,84514.5,34442.75,207.2548077,237.64,-108.4983333,-224.185,-500.7175
1,25900.25,59377.75,73563,63837,51271.25,13951.75,128.7596154,141.8525,-64.84,-125.6575,-373.195
1,35429.5,77861.25,94588.25,81732,64547.5,19142.75,163.1990385,167.27,-85.70833333,-171.845,-454.0475
1,35799.83333,76391.83333,93505,82164.83333,65696.83333,24923.16667,156.1230769,171.1316667,-75.60111113,-164.68,-407.7366666
1,46723.75,101664,124805.5,106650,84888.25,25751.25,211.3086538,231.415,-121.0366667,-217.6175,-591.37
1,39722,87554,106640.25,93450.5,73201.5,30862,183.9692308,190.8625,-87.93166667,-202.49,-423.395
2,37948.5,57197,91255.25,62174.5,56005,29025.75,74.03269231,340.5825,-193.8716667,-61.695,-269.7925
2,6101,8433,14808,10113,9207.75,4888.5,8.969230769,63.75,-31.3,-9.0525,-43.1925
2,30885.5,52522.75,90362.5,70760.5,64102.75,34910.75,83.22019231,378.3975,-130.68,-66.5775,-291.92
2,46385.5,60077.25,111824.25,80730.5,75336.5,41085.25,52.66057692,517.47,-207.2916667,-53.94,-342.5125
2,41375.25,45249,90837.25,51868,51637.25,26555,14.89903846,455.8825,-259.795,-2.3075,-250.8225
2,43652.25,53571.25,101692.25,63259.5,61221.25,31886,38.15,481.21,-256.2183333,-20.3825,-293.3525
2,40832.5,53185,98432,62990.5,60415.75,31654.25,47.50961538,452.47,-236.2766667,-25.7475,-287.615
2,60220.16667,65951.16667,124943.6667,69492.5,67218.83333,33426.83333,22.04230769,589.9250003,-369.6744447,-22.7366667,-337.92
2,43067,57840.25,103277,65061.75,59697.25,31859.75,56.82019231,454.3675,-254.7683333,-53.645,-278.375
2,47754.25,56938,111154,70728.75,67993,35734.75,35.32211538,542.16,-269.5016667,-27.3575,-322.5825
4,46211,100388.75,123934,108956,85133.5,45886,208.3759615,235.4525,-99.85333333,-238.225,-392.475
4,45173.25,98034.25,121437.25,106864.75,83485.5,45069.5,203.3115385,234.03,-97.15,-233.7925,-384.16
4,46491.5,100827,124759.75,109776.25,85703.5,46331.25,208.9826923,239.3275,-99.89,-240.7275,-393.7225
4,46056,100670.25,123252.75,108873.5,84684.25,45710,210.0548077,225.825,-95.86166667,-241.8925,-389.7425
4,43172,93786.75,115646.5,101913.75,79581.5,43258,194.6721154,218.5975,-91.55166667,-223.3225,-363.235
4,44790,95096.75,120960.25,105395,83314.5,45019.5,193.4875,258.635,-103.7683333,-220.805,-382.95
4,44952.75,97004.25,121177.5,106100.5,83300.5,45000.25,200.1980769,241.7325,-100.5133333,-228,-383.0025
4,44783.75,95407.25,120693,105476,83127.25,45011.5,194.7057692,252.8575,-101.4466667,-223.4875,-381.1575
4,45497.5,98873.25,122455,107710.25,84174.75,45517.5,205.2913462,235.8175,-98.29833333,-235.355,-386.5725
4,45272.5,98916.75,121081.25,106903.25,83152.5,44969,206.3240385,221.645,-94.52,-237.5075,-381.835
4,45798.75,100294.75,122704,108421.5,84314.5,45666,209.6,224.0925,-95.21666667,-241.07,-386.485
4,41279.5,90169.5,112102.25,99044.5,77379.25,41878,188.0384615,219.3275,-87.05166667,-216.6525,-355.0125
4,44537,96549.5,119880.25,105317.75,82346.75,44640.25,200.0480769,233.3075,-97.08333333,-229.71,-377.065
4,45848.25,99691,122985.25,108293.5,84497,45776.25,207.0875,232.9425,-97.945,-237.965,-387.2075
4,46089,100172.75,123666.5,108817.75,84860.5,45939.5,208.0144231,234.9375,-98.99166667,-239.5725,-389.21
4,45933,99050,123768.25,108462.25,85120.75,46180.25,204.2961538,247.1825,-102.04,-233.415,-389.405
4,46064.25,100239.75,123652.75,108984.5,85046,46033,208.3673077,234.13,-97.78833333,-239.385,-390.13
4,45472.75,99039.25,122164.75,107710.5,84073.25,45599.5,206.025,231.255,-96.36166667,-236.3725,-384.7375
4,44247,96349.25,122945.75,106598.5,83921.75,45290.75,200.3932692,265.965,-108.9816667,-226.7675,-386.31
4,44546.25,95690.25,121458.25,105383.75,82984.5,44902.75,196.7076923,257.68,-107.1633333,-223.9925,-380.8175
4,44039.25,92726,117473,101479.5,79961,43138.25,187.2567308,247.47,-106.6233333,-215.185,-368.2275
4,42500.5,90932.25,114358,99414,78000,42041.75,186.2759615,234.2575,-99.62666667,-214.14,-359.5825
5,44750.5,83188.75,121626.25,99776,84049.25,43343,147.8394231,384.375,-145.6683333,-157.2675,-407.0625
5,43420,80978,118761.5,96910.5,81571,41951.25,144.4538462,377.835,-145.6733333,-153.395,-396.1975
5,42222.75,77400,112708.5,92724.75,77992.5,40030,135.2971154,353.085,-133.225,-147.3225,-379.625
5,43378,78830.5,118055,94837.5,80899,41342,136.3557692,392.245,-154.7833333,-139.385,-395.57
5,42508.25,81200.5,115278.25,95475.5,79419.5,41152.75,148.8163462,340.7775,-132.0183333,-160.56,-382.6675
5,40170,75989.5,107799.5,89475.75,74601,38471.75,137.7673077,318.1,-122.1583333,-148.7475,-361.2925
5,43220.5,53621.75,84503,51379.25,41680.25,17586.25,40.00480769,308.8125,-220.825,-96.99,-240.94
5,43101,58886,103665,70760,64832.25,29758.75,60.71153846,447.79,-219.3666667,-59.2775,-350.735
5,35435,38635.25,59107,35552.5,28406,11917.25,12.30865385,204.7175,-157.03,-71.465,-164.8875
5,40020,55072.25,93299.75,65201.25,57960,27942.75,57.89326923,382.275,-187.3233333,-72.4125,-300.1725
5,34954.25,48850,82741,59604.75,52706.5,25483.5,53.44519231,338.91,-154.2416667,-68.9825,-272.23
5,42526.75,55028.25,100590,66666,62167,28333,48.08269231,455.6175,-226.16,-44.99,-338.34
5,38195.75,54553.5,92323.75,66073.25,58899.75,27817.5,62.91442308,377.7025,-175.0033333,-71.735,-310.8225
5,42038.66667,56452.16667,96859.16667,66141,59314.33333,28397,55.43653846,404.07,-204.7877778,-68.2666667,-309.1733333
5,60868.25,90573.5,129944,91497.75,73032.5,33348.25,114.2509615,393.705,-256.3083333,-184.6525,-396.8425
5,41416.25,64429.75,103225.75,76373.5,66754,32232.75,88.51346154,387.96,-179.015,-96.195,-345.2125
5,46551.75,95616.25,124309.25,106616,85186.75,45282.75,188.7096154,286.93,-117.955,-214.2925,-399.04
5,41363.5,81295.25,110313.5,93197.25,76073.5,39695,153.5836538,290.1825,-114.1083333,-171.2375,-363.785
5,36295.75,65119,98077.25,78946.5,67595.5,34165.25,110.8586538,329.5825,-127.5383333,-113.51,-334.3025
6,44942,97141.25,119828.25,104717.25,82161.5,40445.25,200.7663462,226.87,-100.74,-225.5575,-417.1625
6,45075.75,97179.5,120162.25,104790.75,82396,40128.25,200.3990385,229.8275,-102.4766667,-223.9475,-422.6775
6,45921.75,99035.75,122308.25,106801.25,83820.75,41096,204.2846154,232.725,-103.38,-229.805,-427.2475
6,45982,99170.5,122617.5,106947.75,83990.75,41137.75,204.5711538,234.47,-104.465,-229.57,-428.53
6,47332.33333,95403.5,120928.5,101564.3333,80497.66667,36934.33333,184.8891026,255.25,-129.0944447,-210.6666663,-435.6333334
6,43595,90119.16667,115138.8333,97484.33333,77202,34435,178.9391026,250.1966663,-117.6966665,-202.8233333,-427.67
6,41449.25,81137.5,104304.75,85390.75,67944.25,28498,152.6471154,231.6725,-126.0933333,-174.465,-394.4625
